Semestre,Quantitativo
1994/2,1
1995/1,4
1995/2,5
1996/1,4
1996/2,7
1997/1,2
1997/2,5
1998/1,3
1998/2,4
1999/1,7
1999/2,9
2000/0,2
2000/1,6
2000/2,11
2001/1,3
2001/2,20
2002/1,7
2002/2,4
2003/1,6
2003/2,15
2004/0,1
2004/1,5
2004/2,7
2005/1,13
2005/2,7
2006/1,11
2006/2,27
2007/0,1
2007/1,14
2007/2,12
2008/0,1
2008/1,19
2008/2,18
2009/0,1
2009/1,24
2009/2,18
2010/1,21
2010/2,16
2011/1,20
2011/2,13
2012/1,12
2012/2,8
2013/1,19
2013/2,22
2014/0,2
2014/1,19
2014/2,17
2015/1,20
2015/2,13
2016/0,2
2016/1,13
2016/2,14
2017/0,2
2017/1,14
2017/2,24
2018/0,3
2018/1,34
2018/2,12
2019/0,2
2019/1,10
2019/2,12
2020/1,16
2020/2,17
